DKINMOBL;101;101.6;100.9;101;8558;864185
DKINMOBLLV;99.85;99.85;99.45;99.45;3130;311818
DKINMOLV;101;101;101;101;5000;505000
DKINMSC;120.1;120.1;120.1;120.1;3000;360300
DKINVO;109.6;110.2;109.6;109.6;5310;582792
DKINYM;218.7;219.9;216.7;216.7;4231;923442
DKITYSK;177.8;177.8;175.3;175.5;12183;2145298
DKIUSA;56.15;56.3;55.55;55.55;108138;6070504
DKIUSAADKKH;205;205;205;205;17920;3662147
DNORD;118.1;119.3;117;117.3;87871;10363764
DSV;537.4;537.6;529;531;359802;191526804
EGE-B;240;240;240;240;150;36000
ERRIA;8.4;8.4;8.15;8.15;2581;21675
FASTPC;41.4;45.2;41.4;45.2;521;22481
FED;84;86;84;86;3450;293340
FFARMS;52;52;52;52;638;33176
FIKEUM;107.5;107.5;107.5;107.5;200;21500
FIKFLM;101;101;101;101;150;15150
FLS;412.9;412.9;397.8;398.2;325227;131057677
FPIFAK;134.1;134.1;134.1;134.1;295;39559
FPIGA;133.7;133.7;133.7;133.7;2770;370349
FPILIM;162.7;162.7;162.7;162.7;30;4881
FPIOPT;124;124;123.7;123.7;1810;224140
FPKEPI;185.4;185.5;184.9;185.4;2890;534898
FPKFO;125.7;125.7;125.7;125.7;280;35196
FPKPAR;138;138;136.9;136.9;2500;342580
FPKPEN;207;207;205;205;23186;4764949
FPKSAF;159.8;159.8;158.5;158.5;10434;1661421
FUISP;252.5;253.5;250.3;250.3;7116;1796060
FUISPA;239.6;240.3;237.1;237.1;8529;2038422
FYNBK;89;89;89;89;220;19580
G4S;22.91;23.06;22.63;22.7;118640;2703495
GABR;598;598;598;598;105;62790
GEN;1024;1026.5;983.8;988.2;226249;225945329
GERHSP;126;126;126;126;50;6300
GJ;77.5;78.5;77.5;78.5;957;74794
GN;290.8;294.3;288.3;293.3;582026;170173280
GREENM;143.5;143.5;143.5;143.5;35;5022
GRIEHY;111.8;111.8;111.8;111.8;293;32757
GRIEMA;142.5;142.5;142.5;142.5;71;10117
GRIEMD;83.3;83.3;83.3;83.3;155;12911
GRLA;612;612;612;612;10;6120
GYLD-A;960;960;960;960;6;5760
GYLD-B;438;488;438;488;66;30082
HAID10A;103.2;103.4;103.2;103.3;2454;253318
HAID30A;105.5;106.1;105.4;105.4;8497;898836
HAIDK;375;375;374.3;374.3;1026;384672
HAIDKOBL;105.8;106;105.8;106;2023;214222
HAIEU;325.6;325.6;323.7;323.7;563;182683
HAIFJ;291.6;291.6;289.8;289.8;687;199246
HAIHRTL;88.8;88.8;88.8;88.8;1120;99456
HAILAT;91.75;91.75;91.75;91.75;92;8441
HAINAM;251.3;252.4;250;250;1757;441336
HAINOR;128.1;128.1;128.1;128.1;97;12425
HAIO60A;110.7;111.2;109;109;20192;2231050
HAIOF80A;113.3;113.3;112.1;112.1;18072;2028518
HAIVER;278.3;278.4;276.6;277;2350;651587
HAIVOB;104.6;104.6;104.6;104.6;1208;126356
HAPPY;10.798;10.798;10.02;10.02;1057;11179
HARB-B;95.2;98;95.2;95.6;7217;698629
HART;380;381;375;381;1707;648093
HGIGA;109.2;109.2;109.2;109.2;914;99808
HH;105.4;108;104;106.8;37268;3946239
HOEJ-A;128;128;128;128;2000;256000
HOEJ-B;120;120;120;120;118;14160
HVID;56.5;56.5;56;56;1125;63190
IC;160;162.6;160;162;6852;1108318
IIVBOND;39394;39394;39394;39394;1;39394
IIVGEA;36076;36076;36076;36076;2;72152
IIVGLA;37136;37136;37064;37064;3;111336
IIVGLO;65000;66177;65000;65411;14;916109
IMAIL;16.5;16.9;15.9;16.7;3610;59199
INIBRA;166;166;165.4;165.93;18468;3061872
INIDEM;111.7;111.7;111.7;111.7;1330;148561
INIOL2040-50;105.4;105.4;105.4;105.4;517;54491
INIOLC;137;137;136.8;136.8;6936;949244
INIOPS;123.1;123.4;123;123.4;6168;759024
INIOVM;164.2;166;164.1;164.7;23261;3828701
IRIDKA;90.35;90.35;90.35;90.35;1000;90350
ISS;222.6;223.8;221.1;221.4;468423;104068427
JDAN;986;986;950;952;1293;1257904
JOBNDX;1450;1450;1440;1440;20;28860
JUTBK;199.5;200;199.5;200;329;65680
JYIDKAKL;168.5;168.5;168.3;168.3;999;168231
JYIEUAKL;109.9;109.9;109;109.9;7180;786195
JYIFAVKL;121.6;121.6;121.6;121.6;3506;426329
JYIFJEKL;215.4;215.4;215;215;406;87350
JYIGLOKL;94.35;94.35;93.95;93.95;84;7921
JYIINAKL;165.9;165.9;165.9;165.9;600;99540
JYIKIKL;166.1;166.1;164.5;164.5;2456;406640
JYIKOBKL;96.05;96.05;96;96;5804;557434
JYILOBKL;100.4;100.4;100.4;100.4;250;25100
JYINYAKL;260.1;260.1;258.4;258.4;590;153192
JYIOBAKKL;141.2;141.2;141;141;618;87173
JYIUSAKL;107.8;108;106.8;106.8;22027;2371198
JYSK;342.9;343.5;338.9;339.2;148458;50560460
KBHL;5640;5720;5640;5640;29;163720
KRE;2560;2560;2520;2520;38;96220
LOLB;331;331;329;329;1287;425211
LSIDKA;114.8;114.8;114.5;114.5;343;39320
LSIEUC;105.6;105.6;105.6;105.6;378;39916
LSIOB;98.45;98.45;98.45;98.45;2052;202019
LSIOBL;88.15;88.15;88.15;88.15;968;85329
LSIVSE;94.9;95;94.9;95;1497;142109
LSKB20;167;167;167;167;3698;617566
LSKB60;169.3;169.3;169.3;169.3;1545;261568
LSKB80;190.7;190.7;190.7;190.7;6997;1334327
LUN;470.5;474;466.2;470;257075;120874946
LUXOR-B;416;416;416;416;1;416
MAERSK-A;8755;8755;8605;8610;3944;34124885
MAERSK-B;9268;9316;9150;9162;24622;226525621
MAJDKA;155.1;155.3;154.5;154.8;4520;700540
MAJDKO;102;102.2;102;102.2;9727;993849
MAJEMA;99.55;99.6;99.55;99.6;534;53169
MAJGO;103;103;102.9;102.9;43017;4430080
MAJGS;175.4;175.5;173.2;173.2;2526;442471
MAJHIO;95.5;95.55;95.45;95.45;26667;2547848
MAJKON;167.5;168;167;167.5;25696;4306879
MAJMAK;145.5;145.6;145.5;145.6;4650;676840
MAJPEN;117;117.1;116.5;116.5;6244;729787
MAJVA;125.3;126;125.2;125.5;6014;754295
MAJVAA;120.1;121;120;120;21407;2580917
MAJVAL;164.9;165.5;164.7;164.7;23280;3844267
MATAS;61;62.2;60.8;60.8;143642;8814990
MIGA-B;284;296;284;294;83;23906
MINILDAXNORDNETD;9.24;9.24;8.25;8.25;3000;25740
MINILGENMABNORDN;249.13;249.13;249.13;249.13;29;7224
MINILNOVONORDNET;57.33;57.33;57.33;57.33;46;2637
MINILPANDORANORD;73.67;73.67;71.07;71.07;60;4342
MINISNOVONORDNET;47.31;47.31;46.96;46.96;275;12984
MMIEUA;120.9;120.9;119.6;119.6;7948;956139
MMIEUR;101;101.2;100.5;100.5;14010;1411348
MMIGA;162.7;163.2;161.5;161.5;28478;4643532
MMIGAA;209.5;209.5;209.5;209.5;464;97229
MMIGLVAAKT;95.16;95.5;94.5;94.5;31497;3004239
MMIGLVAAKTAKK;94.7;94.7;94.7;94.7;484;45834
MMIJAA;110.8;110.8;109.9;109.9;1746;193251
MMIJAP;106;106.2;105.4;105.4;4190;443989
MMINAA;144.2;144.2;144.2;144.2;1617;233062
MMINAM;139.8;139.8;138.5;138.5;6274;872323
MMINO;90.65;91.15;90.6;90.6;65616;5978190
MMINOA;108.7;109.21;108.7;109.21;11895;1298981
MMIUSA;137.8;137.8;136.5;136.5;12481;1715811
MMIUSK;222.6;222.6;219.1;219.1;12135;2688852
MNBA;127;127;124;124;1184;148336
MSIVAK;137.4;137.4;136.6;136.6;1550;212130
MT-B;129.5;129.5;127.5;127.5;316;40707
NDA-DKK;62.46;62.46;61.16;61.2;628115;38775605
NDI4;123.2;123.2;122.3;122.3;20218;2481057
NDIA;129.3;129.4;128.2;128.2;8348;1075197
NDIAKTII;458.2;458.2;456.8;456.8;275;125782
NDIB1;146.2;146.4;146.2;146.2;8023;1174136
NDIB2;149.9;150.1;149.7;149.9;38445;5766381
NDIB3;149.9;149.9;149;149;63100;9438286
NDIDAF;162.2;162.7;161.5;161.8;9562;1549090
NDIDK;189.1;189.6;188.3;189.1;28784;5435550
NDIEEU;375.3;375.4;372.2;372.2;1302;486163
NDIEHY;105.5;105.5;105.3;105.3;12564;1323278
NDIEM;150;150;149.6;149.6;1930;288968
NDIEMMAEN;97.35;97.35;97.25;97.3;27525;2679208
NDIES;108;108;107.5;107.6;2431;261854
